Produktivmandant                                                                              Line Items Extract                                                                             Time 16:46:26     Date  20.12.2024
Gütersloh         Ledger 0L                                                                                                                                                                  RFBPET00/RHUELITL Page           1

	CoCd	DocumentNo				Type		Pstng Date			Period	Year		Doc. Date	Entry Date		User Name		Reference
	BusA	Itm	PK	SG	Tx		PayT		AccTy	Account			D/C	      Amount in LC		Crcy		      Amount in FC		Crcy	D/C	   LC tax amount	Crcy	      Tax Amount	Crcy	Name 1	City	Short Text

	3800	900011369				RV		05.04.2018			     4	2018		05.04.2018	06.04.2018		SAPBTC_APPL		0082536700
		  1	01		A0		R029		D	29060000			S	     1,016,689.94		MXN		        55,612.44		USD
		  2	50		A0				S	4000602			H	-106,984.49		MXN		-5,852.00		USD
		  3	40						S	6601050			S	         1,069.85		MXN		            58.52		USD
		  4	50						S	3000127			H	-1,069.85		MXN		-58.52		USD
		  5	50		A0				S	4001402			H	-8,983.63		MXN		-491.40		USD
		  6	40						S	6601050			S	            89.76		MXN		             4.91		USD
		  7	50						S	3000127			H	-89.76		MXN		-4.91		USD
		  8	50		A0				S	4001402			H	-8,983.63		MXN		-491.40		USD
		  9	40						S	6601050			S	            89.76		MXN		             4.91		USD
		 10	50						S	3000127			H	-89.76		MXN		-4.91		USD
		 11	50		A0				S	4000302			H	-136,491.17		MXN		-7,466.00		USD
		 12	40						S	6601050			S	         1,364.91		MXN		            74.66		USD
		 13	50						S	3000127			H	-1,364.91		MXN		-74.66		USD
		 14	50		A0				S	4001402			H	-80,141.12		MXN		-4,383.68		USD
		 15	40						S	6601050			S	           801.47		MXN		            43.84		USD
		 16	50						S	3000127			H	-801.47		MXN		-43.84		USD
		 17	50		A0				S	4000102			H	-154,838.69		MXN		-8,469.60		USD
		 18	40						S	6601050			S	         1,548.46		MXN		            84.70		USD
		 19	50						S	3000127			H	-1,548.46		MXN		-84.70		USD
		 20	50		A0				S	4000102			H	-29,554.93		MXN		-1,616.64		USD
		 21	40						S	6601050			S	           295.62		MXN		            16.17		USD
		 22	50						S	3000127			H	-295.62		MXN		-16.17		USD
		 23	50		A0				S	4000102			H	-177,329.56		MXN		-9,699.84		USD
		 24	40						S	6601050			S	         1,773.32		MXN		            97.00		USD
		 25	50						S	3000127			H	-1,773.32		MXN		-97.00		USD
		 26	50		A0				S	4000602			H	-240,715.14		MXN		-13,167.00		USD
		 27	40						S	6601050			S	         2,407.15		MXN		           131.67		USD
		 28	50						S	3000127			H	-2,407.15		MXN		-131.67		USD
		 29	50		A0				S	4001402			H	-5,528.39		MXN		-302.40		USD
		 30	40						S	6601050			S	            55.21		MXN		             3.02		USD
		 31	50						S	3000127			H	-55.21		MXN		-3.02		USD
		 32	50		A0				S	4001402			H	-2,290.33		MXN		-125.28		USD
		 33	40						S	6601050			S	            22.85		MXN		             1.25		USD
		 34	50						S	3000127			H	-22.85		MXN		-1.25		USD
		 35	50		A0				S	4001402			H	-2,290.33		MXN		-125.28		USD
		 36	40						S	6601050			S	            22.85		MXN		             1.25		USD
		 37	50						S	3000127			H	-22.85		MXN		-1.25		USD
		 38	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 39	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 40	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 42	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 43	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 44	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 45	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 46	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 47	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 48	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 49	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 50	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 51	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 52	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 53	50		A0				S	4001402			H	-55,634.87		MXN		-3,043.20		USD
		 54	40						S	6601050			S	           556.31		MXN		            30.43		USD
		 55	50						S	3000127			H	-556.31		MXN		-30.43		USD

	3800	900011522				RV		06.04.2018			     4	2018		06.04.2018	07.04.2018		SAPBTC_APPL		0082537700
		  1	01		A0		R029		D	29060000			S	       869,344.20		MXN		        47,552.70		USD
		  2	50		A0				S	4001402			H	-83,304.60		MXN		-4,556.72		USD
		  3	40						S	6601050			S	           833.10		MXN		            45.57		USD
		  4	50						S	3000127			H	-833.10		MXN		-45.57		USD
		  5	50		A0				S	4001402			H	-763.44		MXN		-41.76		USD
		  6	40						S	6601050			S	             7.68		MXN		             0.42		USD
		  7	50						S	3000127			H	-7.68		MXN		-0.42		USD
		  8	50		A0				S	4000302			H	-102,368.38		MXN		-5,599.50		USD
		  9	40						S	6601050			S	         1,023.78		MXN		            56.00		USD
		 10	50						S	3000127			H	-1,023.78		MXN		-56.00		USD
		 11	50		A0				S	4000102			H	-136,774.17		MXN		-7,481.48		USD
		 12	40						S	6601050			S	         1,367.65		MXN		            74.81		USD
		 13	50						S	3000127			H	-1,367.65		MXN		-74.81		USD
		 14	50		A0				S	4000102			H	-30,967.74		MXN		-1,693.92		USD
		 15	40						S	6601050			S	           309.69		MXN		            16.94		USD
		 16	50						S	3000127			H	-309.69		MXN		-16.94		USD
		 17	50		A0				S	4000102			H	-29,554.93		MXN		-1,616.64		USD
		 18	40						S	6601050			S	           295.62		MXN		            16.17		USD
		 19	50						S	3000127			H	-295.62		MXN		-16.17		USD
		 20	50		A0				S	4000102			H	-236,439.42		MXN		-12,933.12		USD
		 21	40						S	6601050			S	         2,364.37		MXN		           129.33		USD
		 22	50						S	3000127			H	-2,364.37		MXN		-129.33		USD
		 23	50		A0				S	4001402			H	-27,817.43		MXN		-1,521.60		USD
		 24	40						S	6601050			S	           278.25		MXN		            15.22		USD
